,제품코드,제품명,1회 제공량(kcal),포화지방(g),단백질(g),지방(g),트랜스지방(g),나트륨(mg),당류(g),카페인(mg),콜레스테롤(mg),탄수화물(g)
164,72,시그니처 핫 초콜릿,410,15,13,22,0,135,39,15,18,41
165,110621,아이스 시그니처 초콜릿,280,13,8,17,0,100,22,15,16,23
166,9200000004953,아이스 티라미수 초콜릿,360,12,8,18,0,140,38,10,20,44
167,9200000004952,티라미수 초콜릿,440,15,12,22,0,210,44,10,35,51
168,9200000003658,플러피 판다 아이스 초콜릿,415,16,11,22,0,150,39,0,30,46
169,9200000002594,플러피 판다 핫 초콜릿,470,17,12,23,0,160,48,0,30,57
170,9200000004951,딸기 콜드폼 딸기 라떼,235,2,6,3.4,0,110,41,0,10,44
171,9200000003659,스타벅스 슬래머,210,0,0,0,0,0,49,0,0,52
172,17,스팀 우유,215,7,13,11,0,173,18,0,36,18
173,18,우유,240,8,12,13,0,200,18,0,40,18
174,9200000004957,제주팔삭 셔벗,95,0,0,0,0,5,22,0,0,24
175,9300000004346,ABC 클렌즈 190ML,90,0.1,1,0.7,0,45,16,0,0,20
176,9300000005406,스퀴즈드 오렌지 주스 100ML,50,0,1,0,0,0,9,0,0,12
177,9300000004348,케일 클렌즈 190ML,90,0.2,1,0.9,0,15,15,0,0,19
178,5210008070,딸기주스 190ML,110,0,0,0.6,0,30,25,0,0,27
179,5210008061,망고주스 190ML,117,0,1,0,0,15,23,0,0,27
180,9300000005405,수박 주스 190ML,100,0,1,0,0,15,20,0,0,24
181,9300000003771,유기농 오렌지 100% 주스 190ML,95,0,2,0.6,0,5,20,0,0,20
182,5210008072,케일&사과주스 190ML,105,0,0,0,0,25,26,0,0,26
183,5210008055,한라봉주스 190ML,88,0,1,0,0,10,20,0,0,21
184,9300000002565,햇사과 주스 190ML,113,0,0.2,0,0,10,27,0,0,28
185,9300000003775,딸기 가득 요거트 190ML,155,3.2,4,5,0.2,50,21,0,15,23
186,5210008063,블루베리 요거트 190ML,155,3.6,5,6,0.2,70,18,0,20,21
187,9200000006616,프렌즈 시나몬 돌체폼 카푸치노,265,7,8,11,0,120,29,75,25,33
188,9200000006619,아이스 프렌즈 시나몬 돌체폼 카푸치노,230,6,6,9,0,95,26,75,20,31
189,9200000003252,더블 에스프레소 크림 라떼,240,8,8,12,0,120,24,90,25,25
190,9200000003255,아이스 더블 에스프레소 크림 라떼,190,7,5,9,0,85,20,90,15,21
191,9200000006643,아이스 프렌즈 얼 그레이 베리 티 라떼,280,12,4,15,0,60,26,30,15,33
192,9200000006640,프렌즈 얼 그레이 베리 티 라떼,280,12,4,15,0,60,26,30,15,33
193,9200000006646,유자 배 캐모마일 티,190,0,0,0.2,0,0,33,0,0,52
194,9200000006649,아이스 유자 배 캐모마일 티,130,0,0,0.1,0,0,24,0,0,36
